岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
建筑工程师/建筑设计师/建筑制图师/建筑绘图师,工程建筑设计知识,29.47880594596735,职业素质,10.598952673936589,效沟通技巧,2.799395643733754,责任感6,2.6927530657178202,创新意识,2.577643168084448,职业素养,2.386764349085943,极富团队合作精神,1.920833554056847,团队协作意识,1.3859025128655826,化办公软件,1.2954862003996623,团队精神6,0.6624327675161468
律师助理,通过司法考试,20.351224414679812,学科教师资格证,11.629312387428222,电脑操作即,8.140743150551268,思维敏捷,6.8497297392895975,与人打交道4,5.895761189193469,逻辑性,5.532144897330126,办公室自动化,3.3078996947751294,效沟通技巧,3.2659615843560466,学上进心,1.5968656988650347,化办公软件,1.5545834404795948
微信开发工程师/小程序开发工程师,语义分割,28.436157265003303,多轴控制器,21.05628996140525,html5css,19.609613086486977,驱动器,16.845031969124197,页面架构,12.553616486996738,ajax,11.339164538118846,英文书面,10.978390501884245,伺服电机,8.849766717044183,mvvm架构,8.395313505732064,电子元器件选型,8.16841642511415
总助/CEO助理/董事长助理,财务方面的知识,26.530925351370612,注重礼仪,22.10910445947551,管理经验,20.39887405932986,商务运作3,18.424253716229593,英语表达,17.112257280519323,语言组织,11.467105542206479,信息检索,9.826268648655786,工作条理性,9.57214575237724,可塑性,8.27878095775114,文字功底,7.426593844411799
房产评估师,安全性评估流程,69.94903837133616,报告撰写&semi,44.21820891895102,报告撰写,8.32557562419246,积极主动,3.9765036488230043,英文读写,0.0,,,,,,,,,,
房地产成本核算员/房地产造价核算员,法律专业知识,8.308494174581273,组织协调力,3.0991909374542015,爱岗敬业,2.837887597969612,极富团队合作精神,0.0,,,,,,,,,,,,
投后管理员,数字化转型,24.302263269086687,另类项目数据管理,23.58304475677388,化办公软件,4.14555584127892,细致踏实,3.445859704658636,python程序,2.5570755413584823,工作负责,1.8658919688700077,ppt操作,1.5488220784262305,高度额责任心,1.2085424735777075,,,,
投资助理/投资顾问,语言沟通,39.35164037191907,投融资相关专业知识,25.79395520272143,各类金融工具,22.10910445947551,展客户提供素材,16.845031969124197,热爱证券金,12.63377397684315,高敏感度,9.961638466665294,证券从业资,9.68418924357385,敏锐的市场判断力,7.369701486491837,积极主动,6.362405838116806,股票软件,4.652725190188557
投资经理,印刷品设计需求,55.68218900904945,研究分析,51.755014257755064,税务师,50.53509590737262,数据获取,40.530809767452176,证券从业资,38.7367569742954,计划执行,34.8593235492815,国内外资本市场,30.700946786674642,从事股权投资事业4,29.47880594596736,业务规则,29.47880594596736,可转债,27.294278184331283
投资经理/融资经理,财务资格证书,28.159977652120723,会计学的基础理论,20.63516416217714,市场敏锐度,17.43445887621931,企图心,11.97020390306591,团队协调合作,8.84364178379021,风险意识,7.49386495591975,逻辑思考力,1.3698047974206775,承压力,0.7065084327706145,,,,
护理,解决问题的意识,0.0,,,,,,,,,,,,,,,,,,
报关员/报检员,170cm,56.65213836208372,160cm,41.12490609349263,各项办公软件操作,27.796903066154755,三观正,22.654687498222238,微生物,16.57100260029682,身材好,12.85223829662817,电子元器件选型,9.529819162633176,逻辑性,4.8406267851638605,学习的意识,3.911134655205225,学上进心,3.1937313977300694
