岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
培训,分享交流,2007.4339765672535,乐于团队协作,1369.7952151591112,酷家乐,1221.792535580407,三维家,814.5283570536047,sumif,598.0802621722272,人际交往,587.3164959793185,虚拟化产品,458.9663550369289,专业素质,444.1431876898429,敬业度,415.3082197366679,上驾照,410.11217977524143
基础建设管理工程师,系统安装,745.6585086822572,补丁应用,652.4511950969751,健康检查,559.2438815116928,故障处理,401.5314408395689,基础生物学中细胞,373.2246323051799,体系结构,338.6508182668534,大数据平台生态组件,286.0722943141595,k8s,275.63630266231644,化妆品基础研发流程,273.40811985016103,计算机网络,245.62774314707895
基金经理,私募基金运作管理,1456.900893979569,学习体系,608.2394965051667,会计专业功底,580.992254681592,基金行业的法律法规,508.61383998072654,行情走势分析,499.1355268150687,高度提炼,486.59159720413334,投资机构,479.6029049960546,法律专业知识,414.3375048585416,相关政策,360.68782884688477,执行效率,290.496127340796
外贸/关务,外语书面表达娴熟,538.2722359550045,小语种文案的编写,461.37620224714675,英语四级证书,435.5403070362802,行业操作流程,273.408119850161,英语翻译,273.408119850161,贸易操作,273.408119850161,英语书面用语功底,239.2321048688909,法律法规,220.76907700102547,思维灵,208.17605696313512,西班牙语,170.89374030656114
外贸业务员,外语沟通,642.5090816478785,机械原理知识,539.2237467106753,英语四六级.听说读写,529.7282322096869,英语听,473.02231176879036,写流利,468.6996340288474,看图功底,423.53287544371284,英语底,380.8184526484386,日语口语,360.82856691433886,英语书写,320.44546415850544,喜欢和外国友人打交道,278.29040770462814
外贸跟单,英语书面水平,117.18468853724386,外贸工作流程,113.92004993756711,国家相关法规,112.23311412796302,英语四级通,108.95617487011685,业务流程,105.26902696919853,英文功底,101.94909685297374,工厂运作流程,85.44003745317532,英文读写,66.80580786008554,责任感6,64.33539261737313,电脑操作即,45.70878911793362
外贸销售,贸易操作流程,580.992254681592,国外客户,468.69963402884747,新媒体推广,307.58413483143096,法律法规,254.44571586558868,英语听,237.3352365669192,客户沟通,226.21398926850657,英语6级,207.9033924280336,听说读写,198.69219752609052,商务谈判技巧,178.90905697500912,英语四级通,155.9842674422613
多媒体设计师,演讲技巧,866.4069510048325,各类音视频剪辑,673.8888772215901,大数据处理,590.3259929939785,红黑树,308.27334861670556,剪辑工作流程,307.58413483143113,进程调度管理设计,284.74476379449163,数模电原理,262.84132042568456,达芬奇,243.90053190841087,跑马灯硬件电路搭建,219.03443368807046,数据结构的设计,218.4528070504147
大数据开发工程师,spark,4465.091380926808,hbase,4325.534405226855,flink,4230.952815722503,java语言,3602.476123196565,javaweb,3484.9499445768733,计算机数据结构,2661.9835800626056,storm,2367.2670063704686,kafka,2107.5237369816355,数据结构,1569.8723623547517,db2,1541.0575779375463
大数据运维工程师,数据组件,1017.2960450981383,hbase,903.8604427394788,zookeeper,779.0210980631351,kafka,588.7960991425559,数配置,526.514424654406,ruby,477.73981523681203,spark,475.2184348457859,宏观思维,466.21099697298126,yarn,464.7938037452739,newsql,437.4529917602576
