公司简称,公司全称,公司性质,公司规模,公司所在行业,JD数量,公司所在地_1,公司所在地_2,公司排序
,时佳,外资企业,15-50人,汽车/机械/制造,16,上海,上海,9
,时光派,民营企业,50-150人,医疗/健康/制药/生物,9,上海,上海,8
,时垠,民营企业,150-500人,快消/百货/批发/零售,1,上海,上海,7
,时尚自由,民营企业,50-150人,广告/传媒/公关/展览,34,北京,北京,8
,时田丰投资,民营企业,少于15人,金融/经济/投资/财会,16,北京,北京,10
,时空道宇,民营企业,150-500人,电子/通信/硬件,192,上海,上海,7
,旺旺,外资企业,2000人以上,快消/百货/批发/零售,47,上海,上海,5
,旻月,股份制企业,15-50人,软件/互联网/游戏,7,江西,赣州,9
,昆仑海岸,民营企业,150-500人,软件/互联网/游戏,125,北京,北京,7
,昆塔文化,民营企业,少于15人,广告/传媒/公关/展览,32,上海,上海,10
,昆山海隆,民营企业,2000人以上,互联网/游戏/软件,13,江苏,苏州,5
,昆明巨凯文化传播有限公司,民营企业,15-50人,广告/传媒/公关/展览,7,云南,昆明,9
,昆明源头购,民营企业,50-150人,电子/通信/硬件,14,云南,昆明,8
,昆明鸿艺文化,民营企业,50-150人,广告/传媒/公关/展览,4,云南,昆明,8
,昆易电子,民营企业,50-150人,电子/通信/硬件,49,上海,上海,8
,昆腾迈格,民营企业,15-50人,汽车/机械/制造,26,浙江,杭州,9
,昇烛源安,民营企业,少于15人,快消/百货/批发/零售,34,山西,太原,10
,昇生微电子,民营企业,50-150人,电子/通信/硬件,43,广东,珠海,8
,昊一源科技,民营企业,150-500人,电子/通信/硬件,26,广东,深圳,7
,昊博集团,民营企业,2000人以上,投资/经济/财会/金融,41,广东,深圳,5
,昌海生物,民营企业,500-2000人,医疗/健康/制药/生物,67,浙江,绍兴,6
,明书文化（昂立教育科技城分校）,民营企业,15-50人,培训/教育,7,江苏,苏州,9
,明基BenQ,民营企业,150-500人,软件/互联网/游戏,545,江苏省,苏州市,7
,明基材料,外资企业,500-2000人,电子/通信/硬件,15,江苏,苏州市,6
,明崚,民营企业,15-50人,投资/经济/财会/金融,39,上海,上海,9
,明度智云,民营企业,150-500人,互联网/游戏/软件,6,浙江,杭州,7
,明微电子,股份制企业,150-500人,电子/通信/硬件,115,广东,深圳,7
,明捷医药,民营企业,150-500人,医疗/健康/制药/生物,49,上海,上海,7
,明海通,民营企业,150-500人,电子/通信/硬件,51,北京,北京,7
,明源云,民营企业,2000人以上,互联网/游戏/软件,10,山东,青岛,5
,明聚资本,民营企业,少于15人,金融/经济/投资/财会,25,广东,深圳市,10
,明胜品智,民营企业,150-500人,软件/互联网/游戏,95,上海,上海,7
,明辉,民营企业,2000人以上,旅游/酒店/餐饮/娱乐,32,广东,深圳市/嘉兴市,5
,明门幼童,民营企业,2000人以上,汽车/机械/制造,172,广东,东莞市,5
,易众化工,民营企业,15-50人,生物/健康/制药/医疗,10,浙江,杭州,9
,易优特,民营企业,50-150人,互联网/游戏/软件,20,北京,北京,8
,易娱网络,民营企业,150-500人,软件/互联网/游戏,101,广东省,广州市,7
,易幻网络,股份制企业,150-500人,软件/互联网/游戏,59,广东,广州,7
,易德龙,民营企业,2000人以上,电子/通信/硬件,336,江苏,苏州,5
,易控智驾,民营企业,50-150人,贸易/交通/物流,25,北京,北京,8
,易点云,民营企业,500-2000人,咨询/企业服务,588,全国,,6
,易用联友,民营企业,50-150人,软件/互联网/游戏,59,北京,北京,8
,易立德,民营企业,2000人以上,软件/互联网/游戏,37,广东,深圳,5
,易简空间,民营企业,50-150人,不限,33,广东,深圳,8
,易简集团,股份制企业,150-500人,互联网/游戏/软件,11,广东,广州,7
,易联阳光,民营企业,500-2000人,互联网/游戏/软件,10,江苏,南京,6
,易航,民营企业,150-500人,汽车/机械/制造,37,北京,北京,7
,易莱信,民营企业,50-150人,互联网/游戏/软件,50,湖北,武汉,8
,易谷网络,民营企业,150-500人,软件/互联网/游戏,159,上海,上海,7
,易贸,民营企业,15-50人,企业服务/咨询,16,山东,济南,9
,易贸商务,外资企业,500-2000人,农林牧渔/其他,33,上海市/山东省,济南市/市辖区,6
,易起赢,民营企业,50-150人,投资/经济/财会/金融,20,天津,天津,8
,易选生物,民营企业,15-50人,医疗/健康/制药/生物,4,上海,上海,9
,易通电商播商公司,民营企业,50-150人,互联网/游戏/软件,13,广东,广州,8
,昕壹企业管理咨询有限公司,民营企业,15-50人,企业服务/咨询,11,浙江,宁波,9
,昕泽心理咨询,民营企业,15-50人,培训/教育,40,江苏省,苏州市,9
,昕阳传,民营企业,15-50人,广告/传媒/公关/展览,7,广东,东莞市,9
,星云V2X,民营企业,150-500人,电子/通信/硬件,46,北京,北京,7
,星光世纪,民营企业,50-150人,互联网/游戏/软件,17,山东,潍坊,8
,星创优学教育,民营企业,50-150人,培训/教育,8,安徽,马鞍山,8
,星创传媒,民营企业,15-50人,传媒/广告/展览/公关,22,上海,上海,9
,星华反光,股份制企业,500-2000人,汽车/机械/制造,7,浙江省,杭州市,6
,星合互娱,民营企业,500-2000人,网络游戏,237,四川,四川,6
,星图维天信,民营企业,150-500人,互联网/游戏/软件,98,北京,北京,7
,星城学雷锋,社会团体,15-50人,公共事业/NGO/政府,14,湖南,长沙,9
,星域集团,外资企业,150-500人,汽车/机械/制造,13,上海,上海,7
,星成长教育,民营企业,15-50人,教育/培训,2,广东,深圳,9
,星投标,民营企业,50-150人,企业服务/咨询,9,上海,上海,8
,星播集团,民营企业,50-150人,广告/传媒/公关/展览,7,广西,南宁,8
,星星优品,民营企业,50-150人,快消/百货/批发/零售,35,浙江,台州,8
,星火在线一对一,民营企业,2000人以上,教育/培训,10,广东省,广州市,5
,星火教育,民营企业,2000人以上,培训/教育,30,浙江,杭州,5
,星火教育杭州分公司,民营企业,500-2000人,培训/教育,4,浙江,杭州,6
,星石投资,民营企业,50-150人,金融/经济/投资/财会,21,北京,北京,8
,星网卫通,民营企业,,电子/通信/硬件,26,北京市,市辖区,10
,星网宇达,股份制企业,500-2000人,电子/通信/硬件,69,北京,北京,6
,星翡互动,民营企业,15-50人,传媒/广告/展览/公关,34,上海,上海,9
,星联互动,民营企业,50-150人,互联网/游戏/软件,11,北京,北京,8
,星艺宝传媒,民营企业,15-50人,传媒/广告/展览/公关,21,福建,厦门,9
,星融元数据技术,民营企业,150-500人,电子/通信/硬件,290,江苏,苏州,7
,星谷,外资企业,150-500人,互联网/游戏/软件,46,上海,上海,7
,星越文化,合伙企业,15-50人,互联网/游戏/软件,2,山东,泰安,9
,星辉游戏,民营企业,500-2000人,软件/互联网/游戏,301,广东省,广州市,6
