公司简称,公司全称,公司性质,公司规模,公司所在行业,JD数量,公司所在地_1,公司所在地_2,公司排序
我爱我家,我爱我家,民营企业,2000人以上,房产/家居/物业/建筑,11,浙江,杭州,1
找钢网,找钢网,股份制企业,500-2000人,互联网/游戏/软件,16,上海,上海,3
招商证券,招商证券沪翔殷,国有企业,2000人以上,投资/财会/经济/金融,73,上海,上海,1
招商证券,招商证券深圳湾营业部,国有企业,150-500人,金融/经济/投资/财会,65,广东,深圳,1
招商银行,招商银行,股份制企业/民营企业,2000人以上,经济/软件/金融/互联网/财会/投资/游戏,72,成都/贵州,成都/贵阳,1
拼多多,拼多多,民营企业,2000人以上,游戏/软件/互联网,14,上海,上海,1
搜狐,搜狐,民营企业,2000人以上,游戏/软件/互联网,175,北京,北京,2
搜狐/畅游,搜狐畅游,民营企业,500-2000人,互联网/游戏/软件,53,北京,北京,4
携程,携程旅行网,民营企业,2000人以上,互联网/游戏/软件,17,四川省,成都市,2
数坤科技,数坤科技,民营企业,500-2000人,游戏/软件/互联网,86,北京,北京,1
斑马快跑/斑马网络,斑马,民营企业,500-2000人,互联网/游戏/软件,45,上海,上海,4
新东方在线（东方创科）,新东方,民营企业,2000人以上,培训/教育,156,广东省/江苏/全国/北京/成都/浙江,南京/广州市/珠海市/杭州/北京/成都,1
新浪/新浪微直播,新浪,外资企业,2000人以上,互联网/游戏/软件,17,北京,北京,4
新网银行,新网银行,股份制企业,500-2000人,投资/财会/经济/金融,105,四川,四川,2
方正证券,方正证券,股份制企业,2000人以上,投资/财会/经济/金融,107,北京,北京,2
时识科技,时识科技,民营企业,50-150人,通信/电子/硬件,64,四川,四川,2
旷视科技,旷视科技,民营企业,2000人以上,游戏/软件/互联网,247,北京,北京,2
明略科技,明略科技集团,民营企业,2000人以上,游戏/软件/互联网,258,全国,,1
星思半导体,星思,民营企业,50-150人,通信/电子/硬件,83,上海,上海,2
映客,映客直播,民营企业,500-2000人,游戏/软件/互联网,155,江西省/广东省,广州市,1
映翰通,映翰通,股份制企业,150-500人,游戏/软件/互联网,29,成都,成都,3
普华永道思略特（Strategy&）,普华永道,民营企业,500-2000人,企业服务/咨询,92,四川,四川,1
智慧树,智慧树网,民营企业,500-2000人,教育/培训,49,上海,上海,3
融信,智融信达,民营企业,15-50人,金融/经济/投资/财会,4,广东,深圳,4
曦华科技,曦华科技,民营企业,50-150人,电子/通信/硬件,6,广东,深圳,2
朗坤智慧,朗坤智慧,股份制企业,500-2000人,游戏/软件/互联网,35,江苏省,南京市,2
朗姿,朗姿韩亚资管,外资企业,15-50人,金融/经济/投资/财会,5,北京,北京,3
奔驰,梅赛德斯-奔驰,外资企业,2000人以上,制造/汽车/机械,149,全国,,1
欧莱雅,欧莱雅 ,外资企业,2000人以上,百货/快消/批发/零售,61,上海,上海,1
欧莱雅,欧莱雅-百库电商,民营企业,500-2000人,互联网/游戏/软件,57,广东,广州市,1
苏宁易购,武汉苏宁易购江夏连锁店,民营企业,2000人以上,快消/百货/批发/零售,16,湖北,武汉,2
汉高,武汉高途课堂,民营企业,500-2000人,培训/教育,18,湖北,武汉,2
比亚迪/比亚迪半导体,比亚迪,民营企业,2000人以上,制造/汽车/机械,38,广东,深圳,4
广联达,江西广联达,民营企业,50-150人,互联网/游戏/软件,46,江西,南昌,2
顺丰,江西顺丰,民营企业,2000人以上,交通/贸易/物流,19,江西,南昌,4
汤姆猫,汤姆猫产业,合伙企业,15-50人,餐饮/酒店/旅游/娱乐,55,广东,广州,3
沃尔沃,沃尔沃汽车台州工厂,外资企业,2000人以上,汽车/机械/制造,88,浙江,台州,2
