"所属公司","公司性质","公司规模","公司所在行业","公司所在地","职位所在地","JD数量"
"珈蓝文化传媒","民营企业","150-500人","广告/传媒/公关/展览","山东/泰安","山东省泰安市泰山区长城路国山中心A座1009室","15"
"金叶云科技","民营企业","15-50人","广告/传媒/公关/展览","湖北/武汉","武汉市江夏区江夏大道广信万汇城6-703","19"
"彩虹桥基金会","社会团体","15-50人","公共事业/NGO/政府","北京市/北京","北京朝阳区东直门外大街奥加国际公寓","32"
"中信建投证券","国有企业","2000人以上","金融/经济/投资/财会","北京","北京市朝阳区松榆西里11-2底商中信建投证券","71"
"健康元","民营企业","2000人以上","医疗/健康/制药/生物","广东/深圳","深圳市南山区科技园北区朗山路17号健康元大厦","117"
"多益网络","民营企业","2000人以上","互联网/游戏/软件","广东/广州","广东省广州市黄埔区伴河路90号自编一栋305","356"
"嘉驰国际","民营企业","500-2000人","企业服务/咨询","上海市/上海","上海市浦东新区陆家嘴花园石桥路66号东亚银行金融大厦22层","67"
"知群","民营企业","15-50人","教育/培训","北京市/北京","北京市朝阳区红军营东路甲8号鸿懋商务大厦2401","97"
"恒辉","合伙企业","50-150人","快消/百货/批发/零售","江苏/南京","上海市长宁区华山路1568号南丰大厦903","46"
"栋梁建筑工程","民营企业","15-50人","房产/家居/物业/建筑","河南/郑州","河南省郑州市中原区华山路淮河路交汇处","65"
"ICOOLTECH","民营企业","150-500人","医疗/健康/制药/生物","上海市/上海","闵行区申长路888号虹桥天地1号楼G层","38"
"开课吧","民营企业","2000人以上","教育/培训","北京市/北京","天津市南开区长荣大厦（北门）17A","17"
"久然文化","民营企业","少于15人","广告/传媒/公关/展览","浙江/杭州","不限，线上办公","11"
"数智医疗","民营企业","50-150人","医疗/健康/制药/生物","深圳","深圳湾创业投资大夏1101","18"
"商璞贸易","合伙企业","少于15人","快消/百货/批发/零售","福建/泉州","福建省泉州市鲤城区鲤城区江南街道东浦社区东浦花苑1栋18楼","40"
"深圳市橙蕉信息技术","民营企业","少于15人","房产/家居/物业/建筑","广东/深圳","深圳市南山区西丽街道华瀚科技大厦","28"
"星城学雷锋","社会团体","15-50人","公共事业/NGO/政府","湖南/长沙","人民东路85号","14"
"蓝禾技术","民营企业","500-2000人","互联网/游戏/软件","广东","深圳市龙华新区民治大道展涛大厦C座1311","14"
"天府新区对冲基金学会","社会团体","15-50人","公共事业/NGO/政府","四川/成都","成都市武侯区高朋大道23号龙蟒集团","10"
"深圳市聚力信息科技有限公司","民营企业","150-500人","互联网/游戏/软件","广东","潮州市湘桥区桥东街道卧石路中段韩师附近","15"
"睿象云","民营企业","50-150人","互联网/游戏/软件","北京市/北京","科锐智能配电网技术研发楼","46"
"字节跳动","民营企业","2000人以上","互联网/游戏/软件","北京","北辰世纪中心A座","32"
"龙山巨海","民营企业","15-50人","教育/培训","北京市/北京","北京昌平区华府9号住总万科2号楼502室","29"
"赫狮传媒","民营企业","15-50人","互联网/游戏/软件","上海市/上海","上海市浦东新区东方路69号A座","87"
"五二赫兹","民营企业","少于15人","互联网/游戏/软件","广东","广州市番禺区","45"
